DISTRICT,SCHOOL,BOROUGH,LOCATION,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2,P.S. / I.S. @ WESTERN RAILYARDS,Mahattan,WEST 30TH STREET AND 11TH AVENUE,,,,,,,,,
2,P.S. @ HUDSON SQUARE,Mahattan,2 HUDSON SQUARE,,,,,,,,,
2,P.S. @ TRINITY PLACE,Mahattan,28-42 TRINITY PLACE,,,,,,,,,
7,P.S. @ 639 ST. ANN'S AVENUE,Bronx,639 ST. ANN'S AVENUE,10455,40.816532,-73.911747,1,17,71,2115801,2023590100,Melrose South-Mott Haven North
9,P.S. @ EDWARD L. GRANT HIGHWAY,Bronx,1302 EDWARD L GRANT HIGHWAY,10452,40.838744,-73.921721,4,16,219,,,Highbridge
10,P.S. @ 2355 MORRIS AVENUE,Bronx,2355 MORRIS AVENUE,10468,40.859668,-73.900982,5,14,239,2000000,2031830045,Fordham South
12,P.S. @ 1570 BOONE AVENUE,Bronx,1570 BOONE AVENUE,10460,40.833224,-73.88497,3,17,157,,,Crotona Park East
13,I.S. 653,Brooklyn,491 DEAN STREET,11217,40.681392,-73.973655,8,35,161,3027638,3011280087,Prospect Heights
13,P.S. @ ALBEE SQUARE WEST,Brooklyn,420 ALBEE SQUARE WEST,11201,40.691157,-73.983459,2,33,15,3000316,3001460043,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
15,I.S. @ 21-31 & 35 DELEVAN STREET,Brooklyn,21-31 & 35 DELEVAN STREET,,,,,,,,,
15,P.S./H.S. @ SCHERMERHORN STREET,Brooklyn,362 SCHERMERHORN STREET,11217,40.686499,-73.979649,2,33,39,3331754,3001740001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
24,P.S. @ 69-02 QUEENS BOULEVARD,Queens,69-02 QUEENS BOULEVARD,11377,40.740234,-73.895678,2,30,489,4056320,4024320009,Elmhurst-Maspeth
25,P.S. 169 ADDITION,Queens,18-25 212 STREET,11360,40.782298,-73.779099,7,19,99704,4131147,4058650050,Ft. Totten-Bay Terrace-Clearview
26,P.S. 41 ADDITION,Queens,214-43 35 AVENUE,11361,40.769601,-73.770863,11,19,1097,4135975,4061210001,Bayside-Bayside Hills
26,P.S. 46 ADDITION,Queens,64-45 218 STREET,11364,40.746202,-73.758752,11,23,1367,4162449,4076190001,Oakland Gardens
30,I.S. @ 44-59 45 AVENUE,Queens,44-59 45 AVENUE,,,,,,,,,
31,P.S. 13 ANNEX,Staten Island,457 TOMKINS AVENUE,,,,,,,,,
78Q,H.S. @ 51-30 NORTHERN BOULEVARD,Queens,51-30 NORTHERN BOULEVARD,11377,40.753167,-73.908092,2,26,255,4437089,4011920041,Woodside
